,item_identifyer,tangram,scene,raw_annotation,clean_annotation,head_noun,wn_lemma,selected_synset,synset_definition,tangram_id,item_id,image_url,partition_name,workspace_name,tangram_pos,order_idx,time_delta
31,3-forest-sws18_16,page-D,forest,explorer,explorer,explorer,explorer,explorer.n.01,someone who travels into little known regions (especially for some scientific purpose),3,38,038_grid_tr.png,sws18,sws18_16,tr,11,150.676703
32,3-forest-sws18_0,page-D,forest,Person,person,person,person,person.n.01,a human being,3,38,038_grid_tr.png,sws18,sws18_0,tr,8,98.202794
33,3-forest-sws18_18,page-D,forest,Old Monk,old monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,38,038_grid_tr.png,sws18,sws18_18,tr,4,64.871524
34,3-forest-sws18_7,page-D,forest,"A teacher, boat","teacher, boat",teacher,teacher,teacher.n.01,a person whose occupation is teaching,3,38,038_grid_tr.png,sws18,sws18_7,tr,6,701.753319
35,3-forest-sws18_9,page-D,forest,man standing,man standing,man,man,man.n.01,an adult person who is male (as opposed to a woman),3,38,038_grid_tr.png,sws18,sws18_9,tr,19,313.250904
36,3-forest-sws18_10,page-D,forest,person holding book,person,person,person,person.n.01,a human being,3,38,038_grid_tr.png,sws18,sws18_10,tr,33,745.610753
37,3-forest-sws18_11,page-D,forest,Pope,pope,pope,pope,pope.n.01,the head of the Roman Catholic Church,3,38,038_grid_tr.png,sws18,sws18_11,tr,5,106.423213
38,3-forest-sws18_3,page-D,forest,transformer,transformer,transformer,automaton,automaton.n.02,a mechanism that can move automatically,3,38,038_grid_tr.png,sws18,sws18_3,tr,21,779.164304
39,3-forest-sws18_4,page-D,forest,Person,person,person,person,person.n.01,a human being,3,38,038_grid_tr.png,sws18,sws18_4,tr,25,1467.922412
40,3-kitchen-sws6_17,page-D,kitchen,a human in a robe holding a reading a book,human in a robe holding a reading a book,human,homo,homo.n.02,"any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",3,34,034_grid_br.png,sws6,sws6_17,br,36,1294.14333
41,3-kitchen-sws6_19,page-D,kitchen,Someone Reading a Book,someone reading a book,someone,person,person.n.01,a human being,3,34,034_grid_br.png,sws6,sws6_19,br,29,906.458749
42,3-kitchen-sws6_23,page-D,kitchen,statue,statue,statue,statue,statue.n.01,a sculpture representing a human or animal,3,34,034_grid_br.png,sws6,sws6_23,br,1,18.573498
43,3-kitchen-sws6_11,page-D,kitchen,A Human,human,human,homo,homo.n.02,"any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",3,34,034_grid_br.png,sws6,sws6_11,br,5,437.674531
44,3-kitchen-sws6_5,page-D,kitchen,Minister,minister,minister,curate,curate.n.01,a person authorized to conduct religious worship,3,34,034_grid_br.png,sws6,sws6_5,br,30,501.012503
45,3-kitchen-sws6_12,page-D,kitchen,person reading ,person,person,person,person.n.01,a human being,3,34,034_grid_br.png,sws6,sws6_12,br,29,637.753852
46,3-kitchen-sws6_13,page-D,kitchen,someone giving directions,someone giving directions,someone,person,person.n.01,a human being,3,34,034_grid_br.png,sws6,sws6_13,br,13,291.042616
47,3-kitchen-sws6_9,page-D,kitchen,Prayer,prayer,prayer,prayer,prayer.n.01,the act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving),3,34,034_grid_br.png,sws6,sws6_9,br,3,41.954742
48,3-kitchen-sws6_4,page-D,kitchen,knight,knight,knight,knight,knight.n.01,originally a person of noble birth trained to arms and chivalry; today in Great Britain a person honored by the sovereign for personal merit,3,34,034_grid_br.png,sws6,sws6_4,br,17,262.643223
49,3-kitchen-sws6_14,page-D,kitchen,person praying,person,person,person,person.n.01,a human being,3,34,034_grid_br.png,sws6,sws6_14,br,6,80.343407
50,3-mountain-sws12_5,page-D,mountain,person,person,person,person,person.n.01,a human being,3,39,039_grid_tl.png,sws12,sws12_5,tl,1,12.829113
51,3-mountain-sws12_6,page-D,mountain,priest praying,priest praying,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,39,039_grid_tl.png,sws12,sws12_6,tl,5,120.157318
52,3-mountain-sws12_7,page-D,mountain,monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,39,039_grid_tl.png,sws12,sws12_7,tl,7,402.26332
53,3-mountain-sws12_13,page-D,mountain,A PASTOR,pastor,pastor,curate,curate.n.01,a person authorized to conduct religious worship,3,39,039_grid_tl.png,sws12,sws12_13,tl,28,662.488552
54,3-mountain-sws12_8,page-D,mountain,teacher,teacher,teacher,teacher,teacher.n.01,a person whose occupation is teaching,3,39,039_grid_tl.png,sws12,sws12_8,tl,0,0.0
55,3-mountain-sws12_0,page-D,mountain,It looks like a person,person,person,person,person.n.01,a human being,3,39,039_grid_tl.png,sws12,sws12_0,tl,35,565.769317
56,3-mountain-sws12_9,page-D,mountain,Monk reading from book,monk reading from book,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,39,039_grid_tl.png,sws12,sws12_9,tl,9,93.40998
57,3-mountain-sws12_1,page-D,mountain,Person reading a book,person reading book,person,person,person.n.01,a human being,3,39,039_grid_tl.png,sws12,sws12_1,tl,33,524.017136
58,3-mountain-sws12_2,page-D,mountain,praying man,man,man,man,man.n.01,an adult person who is male (as opposed to a woman),3,39,039_grid_tl.png,sws12,sws12_2,tl,10,690.681457
59,3-mountain-sws12_11,page-D,mountain,monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,39,039_grid_tl.png,sws12,sws12_11,tl,26,670.567726
60,3-none-bws0_11,page-D,none,person reading a book,person reading a book,person,person,person.n.01,a human being,3,33,033_grid_br.png,bws0,bws0_11,br,30,283.173289
61,3-none-bws0_0,page-D,none,A PRIEST,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,33,033_grid_br.png,bws0,bws0_0,br,20,868.752919
62,3-none-bws0_1,page-D,none,praying person,person,person,person,person.n.01,a human being,3,33,033_grid_br.png,bws0,bws0_1,br,10,239.205491
63,3-none-bws0_5,page-D,none,standing man,standing man,man,man,man.n.01,an adult person who is male (as opposed to a woman),3,33,033_grid_br.png,bws0,bws0_5,br,34,378.20483
64,3-none-bws0_10,page-D,none,a person reading a book,person,person,person,person.n.01,a human being,3,33,033_grid_br.png,bws0,bws0_10,br,25,276.350559
65,3-none-bws0_6,page-D,none,priest,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,33,033_grid_br.png,bws0,bws0_6,br,14,192.806676
66,3-none-bws0_7,page-D,none,priest,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,33,033_grid_br.png,bws0,bws0_7,br,13,115.37673
67,3-none-bws0_8,page-D,none,"Priest, person, statue of liberty!",priest / person / statue of liberty,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,33,033_grid_br.png,bws0,bws0_8,br,18,478.817264
68,3-none-bws0_3,page-D,none,Pulpit,pulpit,pulpit,dais,dais.n.01,a platform raised above the surrounding level to give prominence to the person on it,3,33,033_grid_br.png,bws0,bws0_3,br,5,119.620626
69,3-none-bws0_4,page-D,none,person praying,person praying,person,person,person.n.01,a human being,3,33,033_grid_br.png,bws0,bws0_4,br,21,251.639118
70,3-office-sws14_16,page-D,office,choir singer holding choir hymnal,choir singer holding choir hymnal,choir singer,chorister,chorister.n.01,a singer in a choir,3,37,037_grid_tl.png,sws14,sws14_16,tl,31,581.96446
71,3-office-sws14_21,page-D,office,priest person,priest person,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,37,037_grid_tl.png,sws14,sws14_21,tl,16,265.317437
72,3-office-sws14_6,page-D,office,Person sitting down with their hands clasped together,person sitting down with their hands clasped together,person,person,person.n.01,a human being,3,37,037_grid_tl.png,sws14,sws14_6,tl,3,28.59274
73,3-office-sws14_12,page-D,office,reading book,reading book,book,book,book.n.01,a written work or composition that has been published (printed on pages bound together),3,37,037_grid_tl.png,sws14,sws14_12,tl,23,335.343135
74,3-office-sws14_7,page-D,office,waiter holding a towel,waiter holding a towel,waiter,waiter,waiter.n.01,a person whose occupation is to serve at table (as in a restaurant),3,37,037_grid_tl.png,sws14,sws14_7,tl,28,764.717622
75,3-office-sws14_13,page-D,office,podium,podium,podium,dais,dais.n.01,a platform raised above the surrounding level to give prominence to the person on it,3,37,037_grid_tl.png,sws14,sws14_13,tl,28,1390.437486
76,3-office-sws14_9,page-D,office,person holding lamp,person holding lamp,person,person,person.n.01,a human being,3,37,037_grid_tl.png,sws14,sws14_9,tl,18,252.941234
77,3-office-sws14_14,page-D,office,Dancer,dancer,dancer,dancer,dancer.n.01,a performer who dances professionally,3,37,037_grid_tl.png,sws14,sws14_14,tl,2,39.847275
78,3-office-sws14_15,page-D,office,I see a person looking at a book,person looking at book,person,person,person.n.01,a human being,3,37,037_grid_tl.png,sws14,sws14_15,tl,28,471.87806
79,3-office-sws14_2,page-D,office,person,person,person,person,person.n.01,a human being,3,37,037_grid_tl.png,sws14,sws14_2,tl,10,164.369955
80,3-sea_bottom-sws0_11,page-D,sea_bottom,Priest,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,43,043_grid_tr.png,sws0,sws0_11,tr,5,86.002933
81,3-sea_bottom-sws0_12,page-D,sea_bottom,A monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,43,043_grid_tr.png,sws0,sws0_12,tr,19,195.003953
82,3-sea_bottom-sws0_13,page-D,sea_bottom,deep sea diver,deep sea diver,sea diver,diver,diver.n.02,someone who dives (into water),3,43,043_grid_tr.png,sws0,sws0_13,tr,12,387.372215
83,3-sea_bottom-sws0_7,page-D,sea_bottom,a person praying,person praying,person,person,person.n.01,a human being,3,43,043_grid_tr.png,sws0,sws0_7,tr,25,289.828098
84,3-sea_bottom-sws0_9,page-D,sea_bottom,christian man,christian man,man,man,man.n.01,an adult person who is male (as opposed to a woman),3,43,043_grid_tr.png,sws0,sws0_9,tr,26,335.642768
85,3-sea_bottom-sws0_0,page-D,sea_bottom,monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,43,043_grid_tr.png,sws0,sws0_0,tr,23,872.745779
86,3-sea_bottom-sws0_10,page-D,sea_bottom,Waiter at a resturant or like a butler but both basically have a towel draped on their arm and like a tray,waiter or butler,waiter,waiter,waiter.n.01,a person whose occupation is to serve at table (as in a restaurant),3,43,043_grid_tr.png,sws0,sws0_10,tr,31,625.308303
87,3-sea_bottom-sws0_2,page-D,sea_bottom,flying fish,flying fish,fish,fish,fish.n.01,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,3,43,043_grid_tr.png,sws0,sws0_2,tr,24,260.367828
88,3-sea_bottom-sws0_3,page-D,sea_bottom,praying person,person,person,person,person.n.01,a human being,3,43,043_grid_tr.png,sws0,sws0_3,tr,27,2108.308927
89,3-sea_bottom-sws0_4,page-D,sea_bottom,"Submarine with vertical orientation

",submarine with vertical orientation,submarine,submarine,submarine.n.01,a submersible warship usually armed with torpedoes,3,43,043_grid_tr.png,sws0,sws0_4,tr,1,72.552177
90,3-sky-sws8_16,page-D,sky,person holding a book,person holding a book,person,person,person.n.01,a human being,3,42,042_grid_tl.png,sws8,sws8_16,tl,7,112.397783
91,3-sky-sws8_6,page-D,sky,praying baby,praying baby,baby,baby,baby.n.01,a very young child (birth to 1 year) who has not yet begun to walk or talk,3,42,042_grid_tl.png,sws8,sws8_6,tl,6,115.739929
92,3-sky-sws8_7,page-D,sky,Celestial,celestial,celestial,entity,entity.n.01,that which is perceived or known or inferred to have its own distinct existence (living or nonliving),3,42,042_grid_tl.png,sws8,sws8_7,tl,16,386.106016
93,3-sky-sws8_8,page-D,sky,Server,server,server,waiter,waiter.n.01,a person whose occupation is to serve at table (as in a restaurant),3,42,042_grid_tl.png,sws8,sws8_8,tl,33,480.08991
94,3-sky-sws8_9,page-D,sky,a person reading,person reading,person,person,person.n.01,a human being,3,42,042_grid_tl.png,sws8,sws8_9,tl,17,157.504134
95,3-sky-sws8_0,page-D,sky,monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,42,042_grid_tl.png,sws8,sws8_0,tl,28,416.399084
96,3-sky-sws8_11,page-D,sky,priest,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,42,042_grid_tl.png,sws8,sws8_11,tl,34,436.884605
97,3-sky-sws8_13,page-D,sky,Priest,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,42,042_grid_tl.png,sws8,sws8_13,tl,32,255.089491
98,3-sky-sws8_3,page-D,sky,sitting man reading book,man,man,man,man.n.01,an adult person who is male (as opposed to a woman),3,42,042_grid_tl.png,sws8,sws8_3,tl,30,329.0658
99,3-sky-sws8_15,page-D,sky,statue,statue,statue,statue,statue.n.01,a sculpture representing a human or animal,3,42,042_grid_tl.png,sws8,sws8_15,tl,1,6.299474
100,3-street-sws10_11,page-D,street,"lamps, street lamps, light post, lamp post, outdoor post","lamps, street lamps, light post, lamp post, outdoor post",lamps,lamp,lamp.n.01,an artificial source of visible illumination,3,41,041_grid_tl.png,sws10,sws10_11,tl,6,478.579348
101,3-street-sws10_12,page-D,street,person standing and reading,person standing and reading,person,person,person.n.01,a human being,3,41,041_grid_tl.png,sws10,sws10_12,tl,17,438.122233
102,3-street-sws10_5,page-D,street,priest,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,41,041_grid_tl.png,sws10,sws10_5,tl,8,154.886609
103,3-street-sws10_8,page-D,street,monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,41,041_grid_tl.png,sws10,sws10_8,tl,31,491.495084
104,3-street-sws10_9,page-D,street,person reading,person reading,person,person,person.n.01,a human being,3,41,041_grid_tl.png,sws10,sws10_9,tl,30,288.095195
105,3-street-sws10_0,page-D,street,a building,building,building,building,building.n.01,a structure that has a roof and walls and stands more or less permanently in one place,3,41,041_grid_tl.png,sws10,sws10_0,tl,9,467.182323
106,3-street-sws10_1,page-D,street,monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,3,41,041_grid_tl.png,sws10,sws10_1,tl,16,332.198398
107,3-street-sws10_10,page-D,street,person praying,person praying,person,person,person.n.01,a human being,3,41,041_grid_tl.png,sws10,sws10_10,tl,21,179.713153
108,3-street-sws10_2,page-D,street,person,person,person,person,person.n.01,a human being,3,41,041_grid_tl.png,sws10,sws10_2,tl,14,539.857969
109,3-street-sws10_4,page-D,street,priest,priest,priest,priest,priest.n.01,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders,3,41,041_grid_tl.png,sws10,sws10_4,tl,22,368.868158
110,7-bathroom-sws2_10,page-H,bathroom,person's head and torso in profile,person's head and torso in profile,head,head,head.n.01,the upper part of the human body or the front part of the body in animals; contains the face and brains,7,79,079_grid_br.png,sws2,sws2_10,br,25,550.514083
111,7-bathroom-sws2_15,page-H,bathroom,praying woman,praying woman,woman,woman,woman.n.01,an adult female person (as opposed to a man),7,79,079_grid_br.png,sws2,sws2_15,br,17,218.106135
112,7-bathroom-sws2_6,page-H,bathroom,person sitting away,person sitting,person,person,person.n.01,a human being,7,79,079_grid_br.png,sws2,sws2_6,br,33,418.821997
113,7-bathroom-sws2_8,page-H,bathroom,person,person,person,person,person.n.01,a human being,7,79,079_grid_br.png,sws2,sws2_8,br,1,24.114889
114,7-bathroom-sws2_9,page-H,bathroom,house blueprint,house blueprint,house blueprint,blueprint,blueprint.n.02,photographic print of plans or technical drawings etc.,7,79,079_grid_br.png,sws2,sws2_9,br,3,34.166888
115,7-bathroom-sws2_0,page-H,bathroom,person,person,person,person,person.n.01,a human being,7,79,079_grid_br.png,sws2,sws2_0,br,19,1243.157097
116,7-bathroom-sws2_1,page-H,bathroom,SOMEONE KNEELING DOWN,someone,someone,person,person.n.01,a human being,7,79,079_grid_br.png,sws2,sws2_1,br,4,169.930484
117,7-bathroom-sws2_2,page-H,bathroom,bathroom,bathroom,bathroom,bathroom,bathroom.n.01,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,7,79,079_grid_br.png,sws2,sws2_2,br,26,676.826455
118,7-bathroom-sws2_3,page-H,bathroom,newborn baby,baby,baby,baby,baby.n.01,a very young child (birth to 1 year) who has not yet begun to walk or talk,7,79,079_grid_br.png,sws2,sws2_3,br,18,238.762313
119,7-bathroom-sws2_4,page-H,bathroom,sitting person,sitting person,person,person,person.n.01,a human being,7,79,079_grid_br.png,sws2,sws2_4,br,32,105.30858
120,7-beach-sws12_13,page-H,beach,A NUN,nun,nun,nun,nun.n.01,a woman religious,7,84,084_grid_tr.png,sws12,sws12_13,tr,8,231.902736
121,7-beach-sws12_5,page-H,beach,island,island,island,island,island.n.01,a land mass (smaller than a continent) that is surrounded by water,7,84,084_grid_tr.png,sws12,sws12_5,tr,33,526.701886
122,7-beach-sws12_6,page-H,beach,person in coat,person in coat,person,person,person.n.01,a human being,7,84,084_grid_tr.png,sws12,sws12_6,tr,28,569.051209
123,7-beach-sws12_7,page-H,beach,person sitting,person sitting,person,person,person.n.01,a human being,7,84,084_grid_tr.png,sws12,sws12_7,tr,34,1690.498193
124,7-beach-sws12_8,page-H,beach,penguin,penguin,penguin,penguin,penguin.n.01,short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers,7,84,084_grid_tr.png,sws12,sws12_8,tr,30,378.407827
125,7-beach-sws12_9,page-H,beach,Person sitting and twiddling thumbs,person sitting and twiddling thumbs,person,person,person.n.01,a human being,7,84,084_grid_tr.png,sws12,sws12_9,tr,31,350.417077
126,7-beach-sws12_0,page-H,beach,It looks like a boat,boat,boat,boat,boat.n.01,a small vessel for travel on water,7,84,084_grid_tr.png,sws12,sws12_0,tr,6,135.561806
127,7-beach-sws12_1,page-H,beach,Misshapen cloud,misshapen cloud,cloud,cloud,cloud.n.01,"any collection of particles (e.g., smoke or dust) or gases that is visible",7,84,084_grid_tr.png,sws12,sws12_1,tr,2,44.209958
128,7-beach-sws12_2,page-H,beach,car seat,car seat,car seat,car_seat,car_seat.n.01,a seat in a car,7,84,084_grid_tr.png,sws12,sws12_2,tr,15,876.644726
129,7-beach-sws12_11,page-H,beach,beach house,beach house,beach house,beach_house,beach_house.n.01,a house built on or near a beach,7,84,084_grid_tr.png,sws12,sws12_11,tr,33,893.069502
130,7-bedroom-sws8_16,page-H,bedroom,person kneeling,person kneeling,person,person,person.n.01,a human being,7,80,080_grid_tl.png,sws8,sws8_16,tl,2,25.288871
131,7-bedroom-sws8_6,page-H,bedroom,armoire,armoire,armoire,armoire,armoire.n.01,a large wardrobe or cabinet; originally used for storing weapons,7,80,080_grid_tl.png,sws8,sws8_6,tl,2,40.294236
132,7-bedroom-sws8_7,page-H,bedroom,Wardrobe,wardrobe,wardrobe,wardrobe,wardrobe.n.01,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes,7,80,080_grid_tl.png,sws8,sws8_7,tl,19,435.998907
133,7-bedroom-sws8_8,page-H,bedroom,Daydreamer,daydreamer,daydreamer,daydreamer,daydreamer.n.01,someone who indulges in idle or absentminded daydreaming,7,80,080_grid_tl.png,sws8,sws8_8,tl,21,367.597933
134,7-bedroom-sws8_9,page-H,bedroom,a person,person,person,person,person.n.01,a human being,7,80,080_grid_tl.png,sws8,sws8_9,tl,1,10.163306
135,7-bedroom-sws8_0,page-H,bedroom,person sleeping,person,person,person,person.n.01,a human being,7,80,080_grid_tl.png,sws8,sws8_0,tl,30,440.131158
136,7-bedroom-sws8_11,page-H,bedroom,seated monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,7,80,080_grid_tl.png,sws8,sws8_11,tl,11,179.01327
137,7-bedroom-sws8_13,page-H,bedroom,Mother,mother,mother,mother,mother.n.01,a woman who has given birth to a child (also used as a term of address to your mother),7,80,080_grid_tl.png,sws8,sws8_13,tl,27,226.731789
138,7-bedroom-sws8_3,page-H,bedroom,praying man,praying man,man,man,man.n.01,an adult person who is male (as opposed to a woman),7,80,080_grid_tl.png,sws8,sws8_3,tl,0,0.0
139,7-bedroom-sws8_15,page-H,bedroom,baby,baby,baby,baby,baby.n.01,a very young child (birth to 1 year) who has not yet begun to walk or talk,7,80,080_grid_tl.png,sws8,sws8_15,tl,36,243.946614
140,7-forest-sws6_17,page-H,forest,a human sitting down on knees and looking down,human sitting down on knees and looking down,human,homo,homo.n.02,"any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",7,82,082_grid_br.png,sws6,sws6_17,br,19,732.127078
141,7-forest-sws6_19,page-H,forest,Someone looking down,someone looking down,someone,person,person.n.01,a human being,7,82,082_grid_br.png,sws6,sws6_19,br,30,923.27904
142,7-forest-sws6_23,page-H,forest,monk,monk,monk,monk,monk.n.01,a male religious living in a cloister and devoting himself to contemplation and prayer and work,7,82,082_grid_br.png,sws6,sws6_23,br,28,590.916484
143,7-forest-sws6_5,page-H,forest,Swaddled baby,swaddled baby,baby,baby,baby.n.01,a very young child (birth to 1 year) who has not yet begun to walk or talk,7,82,082_grid_br.png,sws6,sws6_5,br,11,137.779375
144,7-forest-sws6_9,page-H,forest,Person,person,person,person,person.n.01,a human being,7,82,082_grid_br.png,sws6,sws6_9,br,18,217.015195
